NOM;SITUATION;LATITUDE;LONGITUDE;ANNEXES;EMPLACEMENTS;ELECTRICITE;EAUX GRISES;RESTAURATION;PISCINE;TARIF;NOTATION
PATTES DE SINGES;GORGES DE DADES;31,12;5,14;TENTES;15;OUI;OUI;OUI;NON;60;3
SOLEIL BLEU;SORTIE BOULMANE;31,03;5,13;CHAMBRES;10;OUI;OUI;OUI;NON;80;3
LE TAFOUYT;HAUT GORGES TODRA;31,00;5,03;CHAMBRES;5;OUI;NON;OUI;NON;60;2
BADDOU;HAUT GORGES TODRA;31,00;5,03;CHAMBRES;25;OUI;NON;OUI;NON;80;5
LES AMIS;HAUT GORGES TODRA;31,00;5,03;CHAMBRES;20;OUI;OUI;OUI;OUI;70;3
DU LAC;EN MONTANT GORGES DE TODRA;31,05;5,09;CHAMBRES;25;OUI;NON;OUI;NON;75;2
L'ATLAS;EN MONTANT GORGES DE TODRA;31,05;5,09;CHAMBRES;20;OUI;OUI;OUI;NON;75;4
LE SOLEIL;EN BAS GORGES DE TODRA;31,03;5,08;CHAMBRES;40;OUI;OUI;OUI;OUI;85;3
AZLAG;EN BAS GORGES DE TODRA;31,03;5,08;CHAMBREES;15;OUI;OUI;OUI;NON;70;2
CLIMAT DU MAROC;BOUARFA;32,02;1,12;HOTEL;10;OUI;NON;OUI;NON;65;2
FIGUIG HOTEL;LIMITE DE L'OASIS;32,10;1,05;HOTEL;6;OUI;OUI;OUI;OUI;75;4
SOURCE BLEUE DE MESQUI;VERS ERRACHIDIA;31,02;4,12;;30;OUI;OUI;OUI;NON;65;2
TISSIRT;ROUTE D'ERFOUD;31,12;4,08;;20;OUI;OUI;OUI;NON;75;3
SIJILMASSA;ENTRE AOUFFOUSS ET MAADID;31,15;4,04;;30;OUI;OUI;OUI;NON;65;3
TIFINA;8 KM AU SUD ERFOUD;31,09;4,10;;90;OUI;OUI;OUI;OUI;90;5
KAOUKI BEACH;SUD ESSAOUIRA;31,02;9,12;;40;OUI;OUI;NON;NON;75;3
MUNICIPALE IMSOUANE;ENTRE ESSAOUIRA ET AGADIR;30,00;9,15;;50;OUI;NON;NON;NON;70;2
TERRE OCEAN;3KM AVANT TAGHAZOUT;30,05;9,07;;120;OUI;OUI;OUI;OUI;100;5
